ATQShares,ATQ_AvgT,ATQ_Pct,ATQ_TotalT,All_AvgT,AvgEffecSpread,AvgEffecSpread_T,AvgRealSpread,AvgRealSpread_T,AwayExecShares,Broker,Broker_Size,CancelledShares,CoveredOrders,CoveredShares,Exchange,ExecShares,ExecShares_0_9,ExecShares_10_29,ExecShares_30_59,ExecShares_5_30,ExecShares_60_299,MarketCenter,MktCtrAvg_All_AvgT,MktCtrAvg_PrImp_AvgT,MktCtrAvg_PrImp_ExpAmt,MktCtrAvg_PrImp_Pct,MktCtrExecShares,MktShare,OTQShares,OTQ_AvgAmt,OTQ_AvgT,OTQ_Pct,OTQ_TotalT,OrderCode,OrderType,PrImpShares,PrImp_AvgAmt,PrImp_AvgT,PrImp_ExpAmt,PrImp_Pct,PrImp_TotalAmt,PrImp_TotalT,Quarter,Rebate,Rebate_Dummy,Rel_All_AvgT,Rel_PrImp_AvgT,Rel_PrImp_ExpAmt,Rel_PrImp_Pct
-2240320881.2222223,-0.9817185656309956,-0.04073970916787606,-6482719562.455551,-1.006078037294519,0.00011755586930709688,-38434012.59148886,0.005755229793025946,25659257.4560111,-42788205.22222221,Barclays Capital,0.0,-3733781614.111111,-19762489.666666668,-5525815395.666666,NYSE,-2266068013.5555553,-2245144813.666667,-6492166.0,-3930680.111111111,-2900252.3333333335,-6813660.111111111,ARCA,2.319558100843061,-0.11662612616140683,-0.000537638199468017,-0.0464162147068386,-2223279808.333333,-0.001455555555555571,-5527757.8888888955,198.34808888889236,-6.4164865040679055,0.009755569162172652,-465520529.03333306,0,Limit,-20219374.444444448,0.00023042503204203507,-0.03867431290301628,0.00036357147640545906,0.030984140005703445,-215087.60393333342,-9155071.266666668,2015Q3,0.0,1,-3.3256361381375807,0.07795181325839068,0.0009012096758734764,0.07740035471254197
-380278322.0,-0.08248486015251849,-0.005387242758795541,-214873657.46000016,-0.07510092031410064,0.000773669752975676,-4985370.450800002,-0.0011752645328295085,-6868104.171159979,-19123175.800000012,Credit Suisse,0.0,-378163521.4,-2562179.5999999996,-598706750.1999998,NYSE,-420673998.1999998,-419704802.4000001,-431379.0,-199949.8,-72085.20000000001,-237185.0,ARCA,1.7207037570371817,0.022167028812112965,-0.0003340277522978169,-0.035353992844985416,-401550822.4000001,0.00878,-11203332.599999994,-22.337779999999327,-0.07138714454618338,0.0008239953050799068,-5788599.120000001,0,Limit,-29192343.599999994,-0.0006820453676139818,-0.0023674706259613418,-8.081848040338534e-06,0.0045632474537156825,-566148.4723400008,-658153.0,2015Q3,0.0,1,-1.795804677351283,-0.02453449943807423,0.0003259459042574786,0.039917240298701084
-2240320881.2222223,-0.9817185656309956,-0.04073970916787606,-6482719562.455551,-1.006078037294519,0.00011755586930709688,-38434012.59148886,0.005755229793025946,25659257.4560111,-42788205.22222221,Deutsche,0.0,-3733781614.111111,-19762489.666666668,-5525815395.666666,NYSE,-2266068013.5555553,-2245144813.666667,-6492166.0,-3930680.111111111,-2900252.3333333335,-6813660.111111111,ARCA,2.319558100843061,-0.11662612616140683,-0.000537638199468017,-0.0464162147068386,-2223279808.333333,-0.023800000000000016,-5527757.8888888955,198.34808888889236,-6.4164865040679055,0.009755569162172652,-465520529.03333306,0,Limit,-20219374.444444448,0.00023042503204203507,-0.03867431290301628,0.00036357147640545906,0.030984140005703445,-215087.60393333342,-9155071.266666668,2015Q3,0.0,1,-3.3256361381375807,0.07795181325839068,0.0009012096758734764,0.07740035471254197
9631752.222222224,0.006076578369394348,-0.12056795032154033,552673.9888888891,1.443087564285046,0.005910989065323998,1196125.8187666677,-0.021153268408467,-1641323.3967333315,10995572.444444444,Barclays Capital,0.0,13227829.111111112,78179.11111111111,43347412.777777776,Other,30118014.66666667,29521747.777777776,12972.444444444445,15126.666666666666,242116.44444444444,326280.6666666667,ARCA,3.851996372389966,4.00705290476012,0.0030921910868418664,0.12550093265994366,19122442.222222224,0.0,3947591.666666667,185.17976666666632,3.93195249168472,-0.00041242458809111204,47142464.27777777,0,Market,16538670.777777776,0.0400894404917604,2.703245576918604,0.015640436819102467,0.12098037490963146,1640091.954966662,99456899.72222221,2015Q3,0.0,1,-2.4089088081049206,-1.3038073278415157,0.012548245732260599,-0.004520557750312126
9656513.875,0.006962299621819719,-0.1279570742533085,597257.6125000003,1.420638613773348,0.0052038170931737356,1153154.5853500012,-0.021127434460086504,-1628466.4813374982,10957243.375,Cowen Execution,0.0,12923571.75,76976.75,43441546.375,Other,30516730.625,29929180.25,12462.625,14844.75,238723.625,321927.375,ARCA,3.792017486785432,3.940298222561724,0.003220498857770377,0.13806364784887004,19559487.25,0.0,3689100.25,184.77823749999965,3.9628595644786726,-0.005289856838579202,46927161.46249999,0,Market,17171116.5,0.03984927051271435,2.6391289475415123,0.01564278095493134,0.13324693109188768,1624929.6410374956,96926544.5375,2015Q3,0.0,0,-2.3713788730120844,-1.3011692750202117,0.012422282097160963,-0.004816716756982364
8170076.166666664,0.002630424555889497,-0.09718828872032437,415966.56666666677,1.3248518486365504,0.005239910258630662,1043731.7581333341,-0.021121532707549684,-1721810.705549998,8846479.333333332,Credit Suisse,0.0,11977251.5,62743.0,36264339.66666667,Other,24283739.5,23727755.33333333,10182.833333333334,13912.166666666666,226873.5,305959.6666666667,ARCA,3.6051710745281156,3.745432651087655,0.0030962186151661172,0.12408714519460373,15437260.166666664,0.4083333333333333,3730894.0,162.32269999999968,3.7642442861402303,0.004469722694742342,44600735.18333332,0,Market,12382769.333333332,0.036119202585908866,2.4449372458472194,0.013961523564373655,0.09271856602558198,1444314.0290833293,89109114.78333333,2015Q3,0.0,1,-2.2803192258915654,-1.3004954052404356,0.010865304949207538,-0.03136857916902175
9631752.222222224,0.006076578369394348,-0.12056795032154033,552673.9888888891,1.443087564285046,0.005910989065323998,1196125.8187666677,-0.021153268408467,-1641323.3967333315,10995572.444444444,Deutsche,0.0,13227829.111111112,78179.11111111111,43347412.777777776,Other,30118014.66666667,29521747.777777776,12972.444444444445,15126.666666666666,242116.44444444444,326280.6666666667,ARCA,3.851996372389966,4.00705290476012,0.0030921910868418664,0.12550093265994366,19122442.222222224,-0.055955555555555564,3947591.666666667,185.17976666666632,3.93195249168472,-0.00041242458809111204,47142464.27777777,0,Market,16538670.777777776,0.0400894404917604,2.703245576918604,0.015640436819102467,0.12098037490963146,1640091.954966662,99456899.72222221,2015Q3,0.0,1,-2.4089088081049206,-1.3038073278415157,0.012548245732260599,-0.004520557750312126
-2044258107.0,-1.2167373696952102,-0.0533570400304294,-8046871016.977779,-1.1683777136442937,0.0035180773700562197,-14084488.663055554,0.005546142144112596,19853752.518266667,-2579469.0,Barclays Capital,0.0,-2225696669.7777777,-6166470.0,-3554937458.4444447,Other,-1999289616.333333,-1970445380.4444447,-11379996.666666666,-5517754.888888889,-3233053.6666666665,-7820188.333333333,ARCA,7.597171151122875,-0.19949278365474948,0.001654429192040709,-0.06345720583147774,-1996710147.333333,0.022744444444444428,66157400.66666667,214.92338888888844,-5.092242033447989,0.029328391955515322,-160644496.52222216,0,Limit,-21188910.0,0.0022237519422881515,0.009041670288456809,0.00036837954861929057,0.024028648074913936,405438.00264444575,1219072.9555555545,2015Q3,0.0,1,-8.765548864767169,0.20853445394320635,-0.0012860496434214188,0.08748585390639158
-2225632794.5,-1.3505185730604512,-0.05704721601896878,-8985233454.962502,-1.3024004917070893,0.0034112263562166914,-16595999.969487503,0.005984034012796922,21969327.14175,-6577244.25,Cowen Execution,0.0,-2574669306.75,-7268094.75,-4148551601.125,Other,-2175284428.25,-2143150106.25,-12616189.5,-6150237.375,-3625293.0,-8746640.25,ARCA,7.582158193072619,-0.21897126026097674,0.0016531259604613668,-0.06110587495431585,-2168707184.0,0.0,68159333.25,229.01211249999966,-5.801203884973125,0.030175149769183937,-192688298.7,0,Limit,-17810967.0,0.0022308135342735697,0.004961127474241815,0.00038891794438070506,0.026872066249784887,432483.228850001,-23207.800000000745,2015Q3,0.0,0,-8.884558684779709,0.22393238773521862,-0.0012642080160806621,0.08797794120410074
-1480270320.6666665,-0.9316169782683256,-0.04428229319521926,-5653966032.683335,-0.8877414768845527,0.003106401963746659,-8656883.298933335,0.004556248361389811,14992319.469950005,-2349479.3333333284,Credit Suisse,0.0,-1225706513.6666665,-4350960.166666668,-2268150289.666666,Other,-1441155290.0,-1421669080.666667,-7559868.166666667,-3711387.5,-2226846.6666666665,-5373934.0,ARCA,6.722830621019924,-0.23115735839493595,0.0017915168736185715,-0.05578040413549118,-1438805810.666667,0.04991666666666672,54564104.66666667,171.21371666666667,-3.654381999145653,0.02491602952926496,-79306041.48333333,0,Limit,-15449074.0,0.001849980509652521,0.0058560756802943995,0.00030328870793141366,0.019366263665954203,333404.43920000084,139769.31666666642,2015Q3,0.0,1,-7.610572097904477,0.23701343407523034,-0.0014882281656871579,0.07514666780144541
-2044258107.0,-1.2167373696952102,-0.0533570400304294,-8046871016.977779,-1.1683777136442937,0.0035180773700562197,-14084488.663055554,0.005546142144112596,19853752.518266667,-2579469.0,Deutsche,0.0,-2225696669.7777777,-6166470.0,-3554937458.4444447,Other,-1999289616.333333,-1970445380.4444447,-11379996.666666666,-5517754.888888889,-3233053.6666666665,-7820188.333333333,ARCA,7.597171151122875,-0.19949278365474948,0.001654429192040709,-0.06345720583147774,-1996710147.333333,0.3132222222222222,66157400.66666667,214.92338888888844,-5.092242033447989,0.029328391955515322,-160644496.52222216,0,Limit,-21188910.0,0.0022237519422881515,0.009041670288456809,0.00036837954861929057,0.024028648074913936,405438.00264444575,1219072.9555555545,2015Q3,0.0,1,-8.765548864767169,0.20853445394320635,-0.0012860496434214188,0.08748585390639158
4283588.333333332,-0.015003295147968302,-0.0981452880460259,-469387.6888888888,-0.0945717529657214,-0.016904043771587857,-366717.2169888881,-0.007813604455307384,7391.530666668434,5107256.555555556,Barclays Capital,0.0,-1093361.6666666667,52494.88888888889,17964153.444444448,NASDAQ,19059169.888888888,19078513.222222224,976.0,-336.1111111111111,-7229.666666666667,-12529.222222222223,ARCA,0.9792232472745106,1.0496900408383745,0.0007871090216443229,-0.018453866997272583,13951913.333333336,0.0,-1613554.444444444,110.82770000000038,-0.22992532588711084,-0.06937475048737006,-1676508.6111111112,0,Market,16389136.0,0.001509591026146756,-0.1883008807697728,0.007044989721054837,0.16752003853339598,673075.4828111097,-3727807.611111111,2015Q4,0.0,1,-1.0737950002402321,-1.2379909216081475,0.006257880699410513,0.18597390553066873
4614464.285714287,-0.0140792438946743,-0.12396508384865274,-415134.6428571428,-0.1096521234808505,-0.02036046379428584,-388239.598442856,-0.004332185866049429,483406.24088571616,6054115.142857142,Cowen Execution,0.0,-1412675.5714285714,61463.71428571429,21201090.85714286,NASDAQ,22615142.285714284,22639089.428571425,1212.142857142857,-285.0,-9109.142857142857,-15622.285714285714,ARCA,1.8028315760622529,1.4202781459045961,0.0026633013896896693,-0.0006331262586561914,16561027.142857142,0.0,-2028902.1428571437,138.38972857142895,-0.23603268188927934,-0.08715828570551416,-1627740.0285714287,0,Market,20029580.14285714,0.0008688343313815669,-0.2342064633246844,0.00844355697469641,0.21112336955416686,801990.3249428559,-4584137.800000001,2015Q4,0.0,0,-1.9124836995431034,-1.6544846092292806,0.005780255585006744,0.21175649581282302
2573206.833333332,-0.015136131261383983,-0.043251301323977864,-440900.0,-0.12847397371024055,-0.006802768098803643,-229137.32828333252,-0.008803265093545454,-384975.44954999816,2833716.333333332,Credit Suisse,0.0,-1685105.0,27122.0,9256622.833333336,NASDAQ,10943305.166666664,10972926.5,639.3333333333335,-697.1666666666667,-10819.5,-18557.5,ARCA,0.38020898461193564,0.7163119950863319,-0.0009077943918527186,-0.049179811042141974,8109588.833333336,0.0,-884861.333333333,57.28928333333374,-0.3512290891777316,-0.027781842589657588,-2537458.433333333,0,Market,9254959.666666668,0.004610926162389728,-0.1902252005900719,0.0037445086091634546,0.07103314391363552,409386.37038333167,-5160655.466666668,2015Q4,0.0,1,-0.5086829583221759,-0.9065371956764041,0.004652303001016176,0.1202129549557775
