Broker,Exchange,OrderType,Quarter,Rebate,MarketCenter,MktShare,Rebate_Dummy,Obs_id
AXA,NASDAQ,Market,2015Q3,0.0,ATDF,0.1818,0,AXA-ATDF-NASDAQ-Market
AXA,NASDAQ,Market,2015Q3,0.0,CDRG,0.1328,0,AXA-CDRG-NASDAQ-Market
AXA,NASDAQ,Market,2015Q3,0.0,CFCO,0.1272,0,AXA-CFCO-NASDAQ-Market
AXA,NASDAQ,Market,2015Q3,0.0,G1ES,0.2626,0,AXA-G1ES-NASDAQ-Market
AXA,NASDAQ,Market,2015Q3,0.0,KCG,0.2154,0,AXA-KCG-NASDAQ-Market
AXA,NASDAQ,Market,2015Q4,0.0,ATDF,0.1339,0,AXA-ATDF-NASDAQ-Market
AXA,NASDAQ,Market,2015Q4,0.0,CDRG,0.1536,0,AXA-CDRG-NASDAQ-Market
AXA,NASDAQ,Market,2015Q4,0.0,CFCO,0.1667,0,AXA-CFCO-NASDAQ-Market
AXA,NASDAQ,Market,2015Q4,0.0,G1ES,0.2522,0,AXA-G1ES-NASDAQ-Market
AXA,NASDAQ,Market,2015Q4,0.0,KCG,0.2041,0,AXA-KCG-NASDAQ-Market
AXA,NASDAQ,Market,2016Q1,0.0,ATDF,0.127,0,AXA-ATDF-NASDAQ-Market
AXA,NASDAQ,Market,2016Q1,0.0,CDRG,0.1678,0,AXA-CDRG-NASDAQ-Market
AXA,NASDAQ,Market,2016Q1,0.0,CFCO,0.1513,0,AXA-CFCO-NASDAQ-Market
AXA,NASDAQ,Market,2016Q1,0.0,G1ES,0.2276,0,AXA-G1ES-NASDAQ-Market
AXA,NASDAQ,Market,2016Q1,0.0,KCG,0.2411,0,AXA-KCG-NASDAQ-Market
AXA,NASDAQ,Market,2016Q2,0.0,CDRG,0.1458,0,AXA-CDRG-NASDAQ-Market
AXA,NASDAQ,Market,2016Q2,0.0,CFCO,0.1287,0,AXA-CFCO-NASDAQ-Market
AXA,NASDAQ,Market,2016Q2,0.0,CITI,0.0783,0,AXA-CITI-NASDAQ-Market
