MarketCenter,Quarter,Exchange,OrderCode,CoveredOrders,CoveredShares,CancelledShares,MktCtrExecShares,AwayExecShares,ExecShares_0_9,ExecShares_10_29,ExecShares_30_59,ExecShares_60_299,ExecShares_5_30,AvgRealSpread,AvgEffecSpread,PrImpShares,PrImp_AvgAmt,PrImp_AvgT,ATQShares,ATQ_AvgT,OTQShares,OTQ_AvgAmt,OTQ_AvgT,ExecShares,PrImp_TotalT,PrImp_TotalAmt,ATQ_TotalT,OTQ_TotalT,AvgRealSpread_T,AvgEffecSpread_T,PrImp_Pct,ATQ_Pct,OTQ_Pct,OrderType,PrImp_ExpAmt,All_AvgT,MktCtrAvg_PrImp_Pct,Rel_PrImp_Pct,MktCtrAvg_PrImp_AvgT,Rel_PrImp_AvgT,MktCtrAvg_PrImp_ExpAmt,Rel_PrImp_ExpAmt,MktCtrAvg_All_AvgT,Rel_All_AvgT
AQUA,2010Q3,NASDAQ,15,4464,17208226,16685798,5000,63436,600,600,2860,17640,20695,-0.02596273306446899,0.0,0.0,,,0.0,,0.0,0.0,,68436,0.0,0.0,0.0,0.0,-1776.7856,0.0,0.0,0.0,0.0,Other,,0.0,0.0,0.0,,,,,0.0,0.0
AQUA,2010Q3,NYSE,11,158,739621,645143,86300,3078,81300,0,0,100,5100,0.03219505023607599,0.007505175770323792,81400.0,0.009565110565110566,0.4636363636363636,0.0,,7978.0,0.07210000000000001,2675.812559538732,89378,37740.0,778.6,0.0,21347632.6,2877.5292,670.7975999999999,0.910738660520486,0.0,0.08926133947951398,Market,0.008711315983799145,239.2688648213207,0.5451562563052261,0.3655824042152599,0.2828892244594056,0.180747139176958,0.0025509507163881213,0.006160365267411024,48.03749723685,191.23136758447072
AQUA,2010Q3,NYSE,12,14186,64037164,63630844,184700,148520,148000,29300,15000,76383,49962,-0.024658469479623073,-0.0014299210731648756,261030.0,0.01352167107229054,202.451130521396,36112.0,546.0356557377049,36078.0,0.2676,859.7224735295748,333220,52845818.6,3529.5618,19718439.6,31017067.4,-8216.6952,-476.4782999999999,0.7833563411559931,0.10837284676790108,0.10827081207610588,Limit,0.010592286777504352,310.8496656863333,0.3824618992604075,0.40089444189558554,40.808996719438554,161.64213380195747,0.002536332081162233,0.00805595469634212,74.42634905737938,236.42331662895393
AQUA,2010Q3,NYSE,13,6084,23460882,23341478,35000,45604,24200,0,7900,19500,19175,0.002654338494367524,0.0,0.0,,,0.0,,0.0,0.0,,80604,0.0,0.0,0.0,0.0,213.9502999999999,0.0,0.0,0.0,0.0,Other,,0.0,0.0,0.0,,,,,0.0,0.0
AQUA,2010Q3,NYSE,14,6393,26378105,26167418,9200,96187,9200,4100,1200,30382,45502,0.0008985415658477804,0.0,0.0,,,0.0,,0.0,0.0,,105387,0.0,0.0,0.0,0.0,94.69460000000004,0.0,0.0,0.0,0.0,Other,,0.0,0.0,0.0,,,,,0.0,0.0
AQUA,2010Q3,NYSE,15,2017,9349140,9068447,0,36414,0,0,0,10000,15117,0.004093963860053824,0.0,0.0,,,0.0,,0.0,0.0,,36414,0.0,0.0,0.0,0.0,149.07759999999996,0.0,0.0,0.0,0.0,Other,,0.0,0.0,0.0,,,,,0.0,0.0
AQUA,2010Q3,Other,11,395,1785366,1552367,194900,35499,194900,0,3000,5200,13499,0.03695802759560588,-0.0038117218390704825,223800.0,0.028200312779267205,664.0665773011617,0.0,,6599.0,0.3485,2796.703667222306,230399,148618100.0,6311.2300000000005,0.0,18455447.5,8515.0926,-878.2169000000001,0.971358382631869,0.0,0.028641617368130937,Market,0.02739261021098182,725.1487528157675,0.535683379959976,0.4356750026718931,133.03660423666423,531.0299730644974,0.006328650704421826,0.021063959506559995,145.28825141825286,579.8605013975146
AQUA,2010Q3,Other,12,50554,186317451,185233874,302100,463567,256800,49606,32154,173126,179070,-0.015173117164511472,0.003679031093151461,544068.0,0.014821674864171387,421.42838928222204,140307.0,1026.7624295295318,81292.0,0.7907,1205.564511883088,765667,229285700.89999998,8063.998999999998,144061956.20000002,98002750.29999998,-11617.555100000005,2816.9127,0.7105804481582725,0.18324806998342622,0.10617148185830133,Limit,0.010531992367439107,615.6075779679678,0.3888520830589834,0.3217283650992891,85.84225633796177,335.58613294426027,0.002615374350292489,0.007916618017146618,164.56319027254708,451.0443876954207
AQUA,2010Q3,Other,13,24172,78733789,78267767,74200,147517,46100,18100,10849,65675,52069,-0.0060064104240991865,0.0,0.0,,,0.0,,0.0,0.0,,221717,0.0,0.0,0.0,0.0,-1331.7232999999994,0.0,0.0,0.0,0.0,Other,,0.0,0.0,0.0,,,,,0.0,0.0
AQUA,2010Q3,Other,14,29831,105606134,104759354,23000,371653,18000,541,39252,145169,134830,-0.018267275555994757,0.0,0.0,,,0.0,,0.0,0.0,,394653,0.0,0.0,0.0,0.0,-7209.235099999999,0.0,0.0,0.0,0.0,Other,,0.0,0.0,0.0,,,,,0.0,0.0
